Campaign_ID,Duration,Campaign_Channel,Conversion_Rate,Campaign_Cost,ROMI,Country,Clicks,Impressions,StartDate,Target_Gender,Target_Age,Product_ID,Campaign_Channel_ID,Country_code,Product,Product Subcategory,Product Category,Price (USD),Population,GDP,Revenue,CTR,CPC
17,45,Website,0.03,500.0,0.5,France,407.0,2503.0,2022-01-04,Women,35-44,9,1,FR,Rebel Foverever T-Shirt,T-Shirts,Clothing,50,67.75,2716,750.0,0.1626048741510188,1.2285012285012284
31,45,Instagram,0.05,2000.0,2.825,France,482.0,5565.0,2023-01-24,Men,25-34,38,2,FR,Crossbody Bag,Bags,Accessories,45,67.75,2716,7650.0,0.08661275831087152,4.149377593360996
39,30,Instagram,0.14,4500.0,1.832,Germany,1222.0,18376.0,2021-02-01,Men,25-34,44,2,DE,Headband,Headwear,Accessories,9,83.2,3862,12744.0,0.06649978232477144,3.6824877250409167
40,45,Google Ads,0.07,1000.0,1.304,Germany,563.0,9052.0,2021-02-21,Men,18-24,15,3,DE,Ankle Socks,Socks,Clothing,8,83.2,3862,2304.0,0.062196199734865225,1.7761989342806395
43,60,Instagram,0.06,900.0,0.8666666666666667,France,518.0,7407.0,2022-02-13,Men,25-34,16,2,FR,Boxer Briefs,Underwear,Clothing,40,67.75,2716,1680.0,0.06993384636154988,1.7374517374517375
44,30,Instagram,0.12,900.0,0.8666666666666667,Germany,1858.0,8072.0,2022-02-22,All,All,21,2,DE,Cargo pants,Pants,Clothing,80,83.2,3862,1680.0,0.23017839444995045,0.48439181916038754
58,60,Email,0.07,4600.0,1.2978260869565217,United Kingdom,847.0,6474.0,2023-02-22,Men,18-24,13,4,UK,No-Show Socks,Socks,Clothing,10,67.33,2831,10570.0,0.13083101637318506,5.430932703659977
76,30,Instagram,0.03,2500.0,1.506,France,474.0,6669.0,2022-03-28,Men,25-34,7,2,FR,Fit T-Shirt,T-Shirts,Clothing,35,67.75,2716,6265.0,0.07107512370670266,5.274261603375527
93,15,Instagram,0.06,2300.0,0.4826086956521739,Germany,1613.0,15527.0,2021-04-10,Women,35-44,4,2,DE,Just Rebels Jacket,Jackets,Clothing,155,83.2,3862,3410.0,0.10388355767372963,1.425914445133292
106,30,Email,0.08,500.0,0.44,Germany,778.0,7628.0,2022-04-24,Women,25-34,16,4,DE,Boxer Briefs,Underwear,Clothing,40,83.2,3862,720.0,0.10199265862611431,0.6426735218508998
109,30,Instagram,0.03,2500.0,1.49,France,178.0,3416.0,2022-04-14,Men,25-34,1,2,FR,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,67.75,2716,6225.0,0.052107728337236536,14.044943820224718
110,15,YouTube,0.12,1800.0,1.761111111111111,Germany,860.0,10582.0,2022-04-22,Women,25-34,13,5,DE,No-Show Socks,Socks,Clothing,10,83.2,3862,4970.0,0.08127008127008127,2.0930232558139537
121,45,Facebook,0.03,3600.0,4.270833333333333,France,1367.0,11647.0,2021-05-15,Women,35-44,28,6,FR,Rebel Cosmic,Basketball Shoes,Shoes,115,67.75,2716,18975.0,0.11736927964282648,2.633504023408925
122,60,Email,0.08,1300.0,2.3653846153846154,Germany,364.0,8050.0,2021-05-22,All,All,46,4,DE,Rebel Glow,Sunglasses,Accessories,125,83.2,3862,4375.0,0.04521739130434783,3.5714285714285716
130,15,YouTube,0.04,1200.0,1.875,Germany,991.0,14534.0,2021-05-12,Men,25-34,1,5,DE,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,83.2,3862,3450.0,0.0681849456446952,1.2108980827447022
133,15,Instagram,0.1,3000.0,1.1066666666666667,France,648.0,5209.0,2022-05-01,Men,25-34,15,2,FR,Ankle Socks,Socks,Clothing,8,67.75,2716,6320.0,0.12440007679017086,4.62962962962963
143,15,Facebook,0.08,5400.0,2.1822222222222223,Spain,754.0,11524.0,2023-05-21,Women,35-44,41,6,SP,Bucket Hat,Headwear,Accessories,32,47.42,1394,17184.0,0.06542867060048595,7.161803713527852
167,15,Instagram,0.08,1700.0,3.1176470588235294,South Africa,298.0,3357.0,2022-12-05,Men,18-24,48,2,ZA,Rebel Casual,Watches,Accessories,200,60.61,351,7000.0,0.08876973488233542,5.704697986577181
175,15,Instagram,0.1,1100.0,2.690909090909091,South Africa,286.0,4397.0,2023-12-27,Men,18-24,34,2,ZA,Rebel Court,Tennis Shoes,Shoes,70,60.61,351,4060.0,0.06504434841937685,3.8461538461538463
177,60,YouTube,0.1,5300.0,1.330188679245283,Germany,1346.0,13218.0,2023-06-26,Women,35-44,40,5,DE,Golf Cap,Headwear,Accessories,25,83.2,3862,12350.0,0.10183083673778182,3.9375928677563152
201,60,Facebook,0.14,1900.0,2.6184210526315788,France,847.0,15594.0,2022-07-18,Women,35-44,46,6,FR,Rebel Glow,Sunglasses,Accessories,125,67.75,2716,6875.0,0.05431576247274593,2.243211334120425
206,15,Website,0.07,2100.0,3.585714285714286,Spain,190.0,2428.0,2023-07-11,Men,18-24,38,1,SP,Crossbody Bag,Bags,Accessories,45,47.42,1394,9630.0,0.07825370675453047,11.052631578947368
229,60,Website,0.02,100.0,2.3,South Africa,31.0,1379.0,2022-02-03,Men,25-34,42,1,ZA,Beanie,Headwear,Accessories,30,60.61,351,330.0,0.022480058013052938,3.225806451612903
234,60,Website,0.04,1000.0,0.875,Germany,717.0,12369.0,2023-08-15,Men,25-34,1,1,DE,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,83.2,3862,1875.0,0.05796749939364541,1.394700139470014
238,60,Website,0.01,3600.0,0.5833333333333334,United Kingdom,494.0,7104.0,2023-08-09,Men,18-24,1,1,UK,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,67.33,2831,5700.0,0.06953828828828829,7.287449392712551
239,60,Email,0.07,2700.0,1.1407407407407408,Germany,796.0,8671.0,2023-08-08,Women,25-34,22,4,DE,Rebel Max,Lifestyle Shoes,Shoes,170,83.2,3862,5780.0,0.0918002537192942,3.391959798994975
251,45,Website,0.09,3400.0,1.1647058823529413,United Kingdom,343.0,8781.0,2021-09-17,Women,25-34,21,1,UK,Cargo pants,Pants,Clothing,80,67.33,2831,7360.0,0.039061610294955015,9.912536443148689
252,60,Email,0.02,300.0,3.2,France,736.0,6708.0,2021-09-06,Men,18-24,30,4,FR,Rebel Boost,Basketball Shoes,Shoes,180,67.75,2716,1260.0,0.10971973762671437,0.4076086956521739
255,30,Facebook,0.06,2000.0,1.625,United Kingdom,620.0,12381.0,2022-09-21,Women,35-44,1,6,UK,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,67.33,2831,5250.0,0.05007673047411356,3.225806451612903
258,30,Instagram,0.09,3400.0,1.1323529411764706,Spain,1209.0,9142.0,2022-09-15,Women,35-44,13,2,SP,No-Show Socks,Socks,Clothing,10,47.42,1394,7250.0,0.1322467731349814,2.812241521918941
260,30,Website,0.03,3000.0,3.5,United Kingdom,798.0,10574.0,2022-09-11,Men,25-34,47,1,UK,Rebel Sport,Watches,Accessories,150,67.33,2831,13500.0,0.07546812937393607,3.7593984962406015
288,60,Google Ads,0.05,1800.0,2.5,Germany,774.0,11000.0,2022-10-24,Men,18-24,25,3,DE,Rebel Fly,Running Shoes,Shoes,140,83.2,3862,6300.0,0.07036363636363636,2.3255813953488373
292,60,Website,0.01,8800.0,2.518181818181818,South Africa,115.0,1666.0,2022-04-16,Women,35-44,43,1,ZA,Visor,Headwear,Accessories,20,60.61,351,30960.0,0.06902761104441776,76.52173913043478
293,15,Facebook,0.03,3500.0,2.48,Germany,676.0,7055.0,2022-10-17,Men,25-34,33,6,DE,Rebel Force,Soccer Shoes,Shoes,145,83.2,3862,12180.0,0.0958185683912119,5.177514792899408
300,60,Email,0.05,3600.0,2.091666666666667,Germany,485.0,11711.0,2023-10-26,All,All,37,4,DE,Duffel Bag,Bags,Accessories,210,83.2,3862,11130.0,0.04141405516181368,7.422680412371134
308,45,Facebook,0.2,1400.0,2.0535714285714284,South Africa,579.0,6550.0,2021-05-17,Men,18-24,45,6,ZA,Rebel Shine,Sunglasses,Accessories,75,60.61,351,4275.0,0.08839694656488549,2.4179620034542313
311,60,Instagram,0.03,900.0,2.577777777777778,France,396.0,5825.0,2021-11-26,All,All,25,2,FR,Rebel Fly,Running Shoes,Shoes,140,67.75,2716,3220.0,0.06798283261802575,2.272727272727273
312,15,Instagram,0.06,600.0,2.09,South Africa,357.0,3357.0,2021-05-15,Men,18-24,44,2,ZA,Headband,Headwear,Accessories,9,60.61,351,1854.0,0.1063449508489723,1.680672268907563
318,45,Website,0.06,2900.0,1.5106896551724138,Germany,870.0,7124.0,2022-11-10,Men,18-24,44,1,DE,Headband,Headwear,Accessories,9,83.2,3862,7281.0,0.12212240314430095,3.3333333333333335
335,15,YouTube,0.06,1600.0,1.8125,United Kingdom,677.0,6504.0,2021-12-05,Women,35-44,45,5,UK,Rebel Shine,Sunglasses,Accessories,75,67.33,2831,4500.0,0.10408979089790898,2.363367799113737
347,30,YouTube,0.2,2500.0,2.01,South Africa,591.0,13775.0,2022-06-12,All,All,40,5,ZA,Golf Cap,Headwear,Accessories,25,60.61,351,7525.0,0.0429038112522686,4.230118443316413
354,30,YouTube,0.04,3500.0,2.7714285714285714,United Kingdom,827.0,13316.0,2022-12-20,Men,18-24,27,5,UK,Rebel Razor,Running Shoes,Shoes,100,67.33,2831,13200.0,0.062105737458696304,4.2321644498186215
393,15,Facebook,0.11,7500.0,0.588,Spain,852.0,8008.0,2023-01-14,Women,25-34,8,6,SP,Rebel Elements T-Shirt,T-Shirts,Clothing,30,47.42,1394,11910.0,0.1063936063936064,8.80281690140845
395,45,YouTube,0.16,2500.0,1.88,Spain,786.0,6015.0,2023-01-09,Women,35-44,32,5,SP,Rebel Fly,Soccer Shoes,Shoes,120,47.42,1394,7200.0,0.13067331670822943,3.1806615776081424
397,30,Facebook,0.18,1700.0,3.3970588235294117,South Africa,185.0,7526.0,2021-08-04,Women,35-44,40,6,ZA,Golf Cap,Headwear,Accessories,25,60.61,351,7475.0,0.024581450969970768,9.18918918918919
409,15,YouTube,0.15,1800.0,1.761111111111111,France,614.0,8812.0,2022-02-03,Men,25-34,34,5,FR,Rebel Court,Tennis Shoes,Shoes,70,67.75,2716,4970.0,0.06967771221062188,2.9315960912052117
426,45,Instagram,0.11,500.0,0.776,South Africa,320.0,2946.0,2021-09-09,Men,18-24,15,2,ZA,Ankle Socks,Socks,Clothing,8,60.61,351,888.0,0.10862186014935506,1.5625
438,30,YouTube,0.1,4100.0,1.0058536585365854,France,927.0,9948.0,2022-03-16,All,All,41,5,FR,Bucket Hat,Headwear,Accessories,32,67.75,2716,8224.0,0.09318455971049457,4.4228694714131604
441,45,Facebook,0.12,3800.0,1.625,United Kingdom,833.0,6274.0,2022-03-18,Men,25-34,1,6,UK,Club Rebel Fleece Sweatshirt,Sweatshirts,Clothing,75,67.33,2831,9975.0,0.13277016257570928,4.561824729891957
458,60,YouTube,0.02,1000.0,1.3,Germany,1338.0,13484.0,2021-04-26,Women,35-44,28,5,DE,Rebel Cosmic,Basketball Shoes,Shoes,115,83.2,3862,2300.0,0.09922871551468407,0.7473841554559043
461,15,YouTube,0.16,2700.0,3.6444444444444444,United Kingdom,1505.0,6703.0,2021-04-03,Women,35-44,35,5,UK,Rebel Pro,Tennis Shoes,Shoes,110,67.33,2831,12540.0,0.22452633149336118,1.7940199335548173
471,30,YouTube,0.03,3700.0,1.4972972972972973,United Kingdom,1131.0,7656.0,2022-04-19,Women,25-34,36,5,UK,Rebel Response,Tennis Shoes,Shoes,140,67.33,2831,9240.0,0.14772727272727273,3.2714412024756854
476,45,YouTube,0.03,6600.0,2.590909090909091,France,473.0,17797.0,2023-04-29,Women,35-44,45,5,FR,Rebel Shine,Sunglasses,Accessories,75,67.75,2716,23700.0,0.02657751306399955,13.953488372093023
